Do it again!	Recommencez !
I write poems.	J'écris des poèmes.
Just say yes.	Dis juste oui !
Tom's annoyed.	Tom est agacé.
Is Tom right?	Est-ce que Tom a raison ?
Tom is stoned.	Tom est stone.
Don't force it.	Ne le forcez pas.
Tom is in.	Tom est dedans.
I won't die.	Je ne vais pas mourir.
Tom will quit.	Tom démissionnera.
I forbid that.	J'interdis cela.
He is lazy.	Il est fainéant.
Call your son.	Appellez votre fils.
We've seen it.	Nous l'avons vu.
How thrilling!	Comme c'est palpitant !
Cut that out!	Arrêtez ça !
I know CPR.	Je connais la RCP.
I'm powerful.	Je suis puissante.
I'm single.	Je suis célibataire.
I fired Tom.	J'ai viré Tom.
We won.	Nous l'emportâmes.
That's not how.	Ce n'est pas comme ça.
Be creative.	Soyez créatif !
Lie low.	À terre !
You're skinny.	Vous êtes maigrichons.
You owe me one.	Tu me dois une fière chandelle.
Am I qualified?	Suis-je qualifiée ?
I enjoy life.	J'aime la vie.
I can swim.	Je sais nager.
I hurried.	Je me suis dépêchée.
I cringed.	J'ai eu un mouvement de recul.
What is this?	Qu'est-ce que c'est ?
Let's do it.	Faisons-le.
You're morons.	Vous êtes des crétins.
We made a deal.	Nous avions un accord.
Tom likes him.	Tom l'aime bien.
Tom will fail.	Tom échouera.
I'll ask later.	Je demanderai plus tard.
Tom is sobbing.	Tom sanglote.
It's not funny.	Ce n'est pas drôle !
I know him.	Je le connais.
Keep it short.	Soyez brève.
Then what?	Et alors ?
Don't cheat.	Ne triche pas.
I'd rather die.	Je préférerais mourir.
Stop talking.	Arrête de parler.
It has a leak.	Elle fuit.
Who is it?	Qui est-ce ?
You look smart.	Vous avez l'air intelligent.
Stop resisting!	Arrête de résister !
Tom sounds sad.	Tom a l'air triste.
Was Tom angry?	Tom était-il en colère ?
I feel honored.	Je me sens honorée.
I'm in bed.	Je suis alité.
You're sad.	Vous êtes triste.
Keep looking.	Continue à regarder !
Tom is weak.	Tom est faible.
I'm sincere.	Je suis sincère.
They need help.	Ils ont besoin d'aide.
It's all here.	Tout est ici.
I'll be fine.	Ça va aller.
We study music.	Nous étudions la musique.
Let me leave!	Laisse-moi partir !
I like R & B.	J'aime le R&B.
Turn on the TV.	Allume la télé.
Tom shot me.	Tom a tiré sur moi.
Tom is mature.	Tom est mûr.
I saw Tom.	Je voyais Tom.
You stay here.	Tu restes ici.
I'm too busy.	Je suis trop occupé.
Tom fired Mary.	Tom a renvoyé Mary.
You seem upset.	Vous semblez contrariés.
Don't laugh.	Ne ris pas.
Tom won't know.	Tom ne va pas savoir.
Run.	Filez !
I didn't look.	Je n'ai pas regardé.
Tom's working.	Tom travaille.
We can try it.	Nous pouvons l'essayer.
Go ahead.	Va !
You're through.	Vous en avez terminé.
That's enough.	Arrête !
We'll fight.	Nous combattrons.
I'm managing.	Je m'en sors.
Be merciful.	Sois miséricordieux !
I have wine.	J'ai du vin.
I have no time.	Je n'ai pas le temps.
Tom did it all.	Tom a tout fait.
Tom means it.	Tom est sérieux.
Tom sneered.	Tom a ricané.
You're rich.	Vous êtes riches.
Tom went nuts.	Tom perdait la tête.
I made plans.	J'ai élaboré des plans.
Get everything.	Prenez tout.
We're partners.	Nous sommes partenaires.
I've got you.	Je vous ai eue.
Tie your shoe.	Noue ton lacet.
Tom is a judge.	Tom est juge.
I burned it.	Je l'ai brûlé.
It's a scam.	C'est une arnaque.
Come down here.	Descendez.
Forget Tom.	Oubliez Tom.
Are you ready?	Êtes-vous prêt ?
Tom disagreed.	Tom n'était pas d'accord.
He loves toys.	Il adore les jouets.
They're back.	Elles sont de retour.
That's weird.	C'est bizarre.
Be more precise.	Soyez plus précis.
Were you shot?	Vous a-t-on tiré dessus ?
Close your eyes.	Ferme les yeux.
We're angry.	Nous sommes en colère.
Beef, please.	Du bœuf s'il vous plaît.
Call Tom.	Appelle Tom.
Record this.	Enregistre ceci.
Go away!	Déguerpissez.
See you!	À bientôt !
I drank tea.	Je buvais du thé.
Find the cat.	Trouve le chat.
Don't hang up.	Ne quitte pas !
I made a deal.	J'ai conclu un accord.
Tom was kind.	Tom était aimable.
Start counting.	Commencez par compter.
I rescued you.	Je t'ai sauvée.
I'll take him.	Je le prends.
Do you fish?	Vous pêchez ?
Stay sharp.	Reste vigilant.
I'm okay.	Je me porte bien.
